acc,epoch,step,loss,val_acc
0.8671875,0,49,0.3499412536621094,
,0,76,,0.8060317635536194
0.859375,1,99,0.3205399513244629,
0.7890625,1,149,0.41503793001174927,
,1,153,,0.8660317659378052
0.8828125,2,199,0.3229416608810425,
,2,230,,0.879444420337677
0.8984375,3,249,0.267031729221344,
0.890625,3,299,0.310809463262558,
,3,307,,0.8896031975746155
0.8515625,4,349,0.32560738921165466,
,4,384,,0.8927778005599976
0.8671875,5,399,0.27334392070770264,
0.9140625,5,449,0.19783863425254822,
,5,461,,0.8941270112991333
0.9140625,6,499,0.2003195434808731,
,6,538,,0.8984127044677734
0.9140625,7,549,0.20852749049663544,
0.90625,7,599,0.20745715498924255,
,7,615,,0.903333306312561
0.953125,8,649,0.12862902879714966,
,8,692,,0.9092857241630554
0.9140625,9,699,0.2340303659439087,
0.921875,9,749,0.16202181577682495,
,9,769,,0.9144444465637207
0.9375,10,799,0.18585467338562012,
,10,846,,0.9189682602882385
0.8828125,11,849,0.23410503566265106,
0.953125,11,899,0.11931350827217102,
,11,923,,0.9253968000411987
0.953125,12,949,0.11589797586202621,
0.953125,12,999,0.16475987434387207,
,12,1000,,0.9303968548774719
0.9375,13,1049,0.174679234623909,
,13,1077,,0.9344444274902344
0.9765625,14,1099,0.09475497901439667,
0.9609375,14,1149,0.09433049708604813,
,14,1154,,0.9394444227218628
0.9765625,15,1199,0.08529213070869446,
,15,1231,,0.9446031451225281
0.953125,16,1249,0.11074307560920715,
0.96875,16,1299,0.1050223782658577,
,16,1308,,0.9472222328186035
0.9375,17,1349,0.14814192056655884,
,17,1385,,0.948968231678009
0.953125,18,1399,0.08390195667743683,
0.9609375,18,1449,0.09955908358097076,
,18,1462,,0.9511904716491699
0.9453125,19,1499,0.14603115618228912,
,19,1539,,0.9528571367263794
0.953125,20,1549,0.09696150571107864,
0.9296875,20,1599,0.14408335089683533,
,20,1616,,0.9556348919868469
0.9453125,21,1649,0.10913723707199097,
,21,1693,,0.9572222232818604
0.96875,22,1699,0.09448696672916412,
0.9609375,22,1749,0.11962370574474335,
,22,1770,,0.9585714340209961
0.9765625,23,1799,0.0659547671675682,
,23,1847,,0.9601587057113647
0.96875,24,1849,0.09058941155672073,
0.953125,24,1899,0.10309982299804688,
,24,1924,,0.9615873098373413
0.96875,25,1949,0.068240225315094,
0.984375,25,1999,0.04704130068421364,
,25,2001,,0.9626984000205994
0.984375,26,2049,0.04841972142457962,
,26,2078,,0.9639682769775391
0.96875,27,2099,0.06625038385391235,
0.953125,27,2149,0.10713975876569748,
,27,2155,,0.9642857313156128
0.9609375,28,2199,0.10547851771116257,
,28,2232,,0.964206337928772
0.984375,29,2249,0.042871203273534775,
0.9921875,29,2299,0.04233912006020546,
,29,2309,,0.9651587009429932
0.9453125,30,2349,0.22858873009681702,
,30,2386,,0.9607142806053162
0.9765625,31,2399,0.03771044686436653,
0.9765625,31,2449,0.054075937718153,
,31,2463,,0.9676190614700317
0.9609375,32,2499,0.10624460130929947,
,32,2540,,0.9686508178710938
0.96875,33,2549,0.07848231494426727,
0.9765625,33,2599,0.05356622487306595,
,33,2617,,0.9698412418365479
0.984375,34,2649,0.03534916415810585,
,34,2694,,0.9657936692237854
0.9375,35,2699,0.1099778339266777,
0.921875,35,2749,0.13962891697883606,
,35,2771,,0.9611904621124268
0.953125,36,2799,0.11477676033973694,
,36,2848,,0.9549206495285034
0.96875,37,2849,0.06167251989245415,
0.9921875,37,2899,0.023542454466223717,
,37,2925,,0.967301607131958
0.96875,38,2949,0.08672148734331131,
0.9921875,38,2999,0.023694321513175964,
,38,3002,,0.9701587557792664
1.0,39,3049,0.014096354134380817,
,39,3079,,0.9729365110397339
0.96875,40,3099,0.06588331609964371,
1.0,40,3149,0.013626021333038807,
,40,3156,,0.973809540271759
0.9453125,41,3199,0.09222932904958725,
,41,3233,,0.9752380847930908
0.9921875,42,3249,0.02188715711236,
0.984375,42,3299,0.036104463040828705,
,42,3310,,0.9768254160881042
0.9921875,43,3349,0.017340412363409996,
,43,3387,,0.9773015975952148
0.9765625,44,3399,0.05433493107557297,
0.984375,44,3449,0.041652556508779526,
,44,3464,,0.9780952334403992
0.9921875,45,3499,0.025119347497820854,
,45,3541,,0.9787301421165466
1.0,46,3549,0.004357146564871073,
0.9921875,46,3599,0.029409177601337433,
,46,3618,,0.9784126877784729
0.9765625,47,3649,0.03925853595137596,
,47,3695,,0.9790475964546204
0.984375,48,3699,0.0253574438393116,
0.9765625,48,3749,0.054779961705207825,
,48,3772,,0.9766666889190674
1.0,49,3799,0.011049370281398296,
1.0,49,3849,0.01758534647524357,
,49,3849,,0.9773809313774109
0.9609375,50,3899,0.09132008254528046,
,50,3926,,0.9743650555610657
1.0,51,3949,0.012906759046018124,
0.9453125,51,3999,0.16647063195705414,
,51,4003,,0.9746031761169434
0.984375,52,4049,0.03703366219997406,
,52,4080,,0.9739682674407959
0.984375,53,4099,0.07573054730892181,
0.9921875,53,4149,0.024288279935717583,
,53,4157,,0.9691269993782043
1.0,54,4199,0.007743950001895428,
,54,4234,,0.9742063283920288
0.984375,55,4249,0.03143841773271561,
0.9765625,55,4299,0.04160270094871521,
,55,4311,,0.9726983904838562
1.0,56,4349,0.011221351101994514,
,56,4388,,0.9733333587646484
0.984375,57,4399,0.019908567890524864,
0.96875,57,4449,0.11478164792060852,
,57,4465,,0.9765079617500305
1.0,58,4499,0.0073386202566325665,
,58,4542,,0.9746031761169434
0.9921875,59,4549,0.014056026935577393,
1.0,59,4599,0.008497552014887333,
,59,4619,,0.9767460227012634
0.984375,60,4649,0.02164636179804802,
,60,4696,,0.9753174781799316
0.984375,61,4699,0.04919498786330223,
1.0,61,4749,0.007533413823693991,
,61,4773,,0.9798412919044495
0.984375,62,4799,0.021752333268523216,
0.9921875,62,4849,0.0325564444065094,
,62,4850,,0.9799206256866455
0.96875,63,4899,0.08856379240751266,
,63,4927,,0.9800000190734863
1.0,64,4949,0.0020915288478136063,
1.0,64,4999,0.00791751965880394,
,64,5004,,0.9803968071937561
0.9765625,65,5049,0.04808080196380615,
,65,5081,,0.9785714149475098
0.984375,66,5099,0.07403597980737686,
0.9921875,66,5149,0.022783784195780754,
,66,5158,,0.9822221994400024
1.0,67,5199,0.009362289682030678,
,67,5235,,0.9769047498703003
1.0,68,5249,0.0016556631308048964,
0.96875,68,5299,0.04685594141483307,
,68,5312,,0.9794444441795349
0.9609375,69,5349,0.059131234884262085,
,69,5389,,0.9785714149475098
0.96875,70,5399,0.0870528444647789,
0.9765625,70,5449,0.11754216998815536,
,70,5466,,0.9787301421165466
0.9921875,71,5499,0.01806330308318138,
,71,5543,,0.9746031761169434
0.9921875,72,5549,0.02161002717912197,
0.9921875,72,5599,0.013233332894742489,
,72,5620,,0.9755555391311646
1.0,73,5649,0.003799427067860961,
,73,5697,,0.9792063236236572
0.9921875,74,5699,0.008535628207027912,
0.9765625,74,5749,0.0535300187766552,
,74,5774,,0.9747619032859802
0.9921875,75,5799,0.04176638647913933,
0.96875,75,5849,0.1079929918050766,
,75,5851,,0.9768254160881042
0.984375,76,5899,0.0740366280078888,
,76,5928,,0.9806349277496338
1.0,77,5949,0.010517640970647335,
0.96875,77,5999,0.11240775138139725,
,77,6005,,0.9795238375663757
0.984375,78,6049,0.03838235139846802,
,78,6082,,0.9812698364257812
1.0,79,6099,0.008275199681520462,
1.0,79,6149,0.003083886345848441,
,79,6159,,0.9821428656578064
0.9921875,80,6199,0.01414318848401308,
,80,6236,,0.9872221946716309
1.0,81,6249,0.0013987059937790036,
0.984375,81,6299,0.031585462391376495,
,81,6313,,0.987063467502594
1.0,82,6349,0.0008534888620488346,
,82,6390,,0.9885714054107666
1.0,83,6399,0.0011760378256440163,
0.9921875,83,6449,0.013219875283539295,
,83,6467,,0.9877777695655823
1.0,84,6499,0.0014050068566575646,
,84,6544,,0.9881746172904968
1.0,85,6549,0.0024751056917011738,
1.0,85,6599,0.0037931485567241907,
,85,6621,,0.9892857074737549
1.0,86,6649,0.002253038575872779,
,86,6698,,0.9893651008605957
1.0,87,6699,3.0953171517467126e-05,
1.0,87,6749,2.8491853299783543e-05,
,87,6775,,0.9895238280296326
1.0,88,6799,0.00034972341381944716,
1.0,88,6849,2.594474244688172e-05,
,88,6852,,0.9892063736915588
1.0,89,6899,6.52773305773735e-05,
,89,6929,,0.9898412823677063
1.0,90,6949,0.0011142416624352336,
1.0,90,6999,0.0003210498543921858,
,90,7006,,0.9882539510726929
0.9921875,91,7049,0.012637938372790813,
,91,7083,,0.9886507987976074
1.0,92,7099,1.3120455150783528e-05,
1.0,92,7149,0.0003076035063713789,
,92,7160,,0.9884920716285706
1.0,93,7199,0.00011389928113203496,
,93,7237,,0.9876984357833862
1.0,94,7249,0.002240672241896391,
1.0,94,7299,0.003366843331605196,
,94,7314,,0.9883333444595337
1.0,95,7349,0.0007889554253779352,
,95,7391,,0.9885714054107666
1.0,96,7399,0.00022252775670494884,
1.0,96,7449,0.00027740446967072785,
,96,7468,,0.9887301325798035
1.0,97,7499,0.001365963718853891,
,97,7545,,0.9887301325798035
1.0,98,7549,0.00044680098653770983,
0.9921875,98,7599,0.011837569996714592,
,98,7622,,0.9879364967346191
1.0,99,7649,0.0001877742470242083,
1.0,99,7699,0.0016933594597503543,
,99,7699,,0.9884920716285706
