acc,epoch,step,loss,val_acc
0.609375,0,49,0.8482532501220703,
,0,58,,0.6085502505302429
0.625,1,99,0.6505504846572876,
,1,117,,0.6515104174613953
0.65625,2,149,0.7890763282775879,
,2,176,,0.6422075629234314
0.484375,3,199,0.8179432153701782,
,3,235,,0.6540189981460571
0.765625,4,249,0.5516042709350586,
,4,294,,0.6794188618659973
0.703125,5,299,0.622782826423645,
0.7578125,5,349,0.5211108326911926,
,5,353,,0.6915438771247864
0.71875,6,399,0.595419704914093,
,6,412,,0.7032507658004761
0.6796875,7,449,0.5521081686019897,
,7,471,,0.7114037871360779
0.71875,8,499,0.5667279958724976,
,8,530,,0.7192432284355164
0.765625,9,549,0.5666505694389343,
,9,589,,0.722692608833313
0.7265625,10,599,0.5318377017974854,
,10,648,,0.7203930020332336
0.734375,11,649,0.5197113156318665,
0.65625,11,699,0.6828526854515076,
,11,707,,0.6906031370162964
0.734375,12,749,0.6112254858016968,
,12,766,,0.7131807208061218
0.8125,13,799,0.43226295709609985,
,13,825,,0.7267690896987915
0.7890625,14,849,0.4803415536880493,
,14,884,,0.7359673976898193
0.7265625,15,899,0.5342539548873901,
,15,943,,0.7438068389892578
0.7578125,16,949,0.5152242183685303,
0.734375,16,999,0.52029949426651,
,16,1002,,0.749660313129425
0.7265625,17,1049,0.5765566229820251,
,17,1061,,0.753318727016449
0.6484375,18,1099,0.6710914969444275,
,18,1120,,0.7586495280265808
0.75,19,1149,0.5380221605300903,
,19,1179,,0.7617853283882141
0.78125,20,1199,0.4878360629081726,
,20,1238,,0.7670115828514099
0.7109375,21,1249,0.5402148365974426,
,21,1297,,0.7720288634300232
0.8359375,22,1299,0.4534943401813507,
0.765625,22,1349,0.5123682618141174,
,22,1356,,0.7749555706977844
0.7265625,23,1399,0.5643725395202637,
,23,1415,,0.779136598110199
0.734375,24,1449,0.6587902307510376,
,24,1474,,0.7822723984718323
0.796875,25,1499,0.43411552906036377,
,25,1533,,0.7874987125396729
0.8046875,26,1549,0.3976762294769287,
,26,1592,,0.7908435463905334
0.84375,27,1599,0.35053205490112305,
0.8515625,27,1649,0.3757534921169281,
,27,1651,,0.7900072932243347
0.8203125,28,1699,0.3842669129371643,
,28,1710,,0.7948155403137207
0.8046875,29,1749,0.4107719361782074,
,29,1769,,0.7911571264266968
0.8984375,30,1799,0.3035441040992737,
,30,1828,,0.7999373078346252
0.7890625,31,1849,0.4637652337551117,
,31,1887,,0.8015051484107971
0.859375,32,1899,0.33934730291366577,
,32,1946,,0.8029685616493225
0.859375,33,1949,0.38920679688453674,
0.90625,33,1999,0.2518867552280426,
,33,2005,,0.8116441965103149
0.8203125,34,2049,0.3577767610549927,
,34,2064,,0.8167659640312195
0.8046875,35,2099,0.4501599073410034,
,35,2123,,0.8059998154640198
0.8515625,36,2149,0.4074753522872925,
,36,2182,,0.8142573237419128
0.875,37,2199,0.32434242963790894,
,37,2241,,0.8199017643928528
0.8359375,38,2249,0.40054941177368164,
0.8515625,38,2299,0.2851661443710327,
,38,2300,,0.8273230791091919
0.859375,39,2349,0.30233103036880493,
,39,2359,,0.8318176865577698
0.8359375,40,2399,0.3216148018836975,
,40,2418,,0.8453015685081482
0.8359375,41,2449,0.3211100399494171,
,41,2477,,0.8517821431159973
0.859375,42,2499,0.2897939383983612,
,42,2536,,0.8577401638031006
0.921875,43,2549,0.2312493473291397,
,43,2595,,0.8606668710708618
0.8515625,44,2599,0.296659916639328,
0.8828125,44,2649,0.2990891635417938,
,44,2654,,0.8626528978347778
0.921875,45,2699,0.23239846527576447,
,45,2713,,0.866520345211029
0.875,46,2749,0.2939574718475342,
,46,2772,,0.8721647262573242
0.859375,47,2799,0.28743627667427063,
,47,2831,,0.8759276866912842
0.8984375,48,2849,0.2323441505432129,
,48,2890,,0.8791679739952087
0.875,49,2899,0.25077515840530396,
1.0,49,2949,0.04063589870929718,
,49,2949,,0.8857530951499939
0.9375,50,2999,0.14041312038898468,
,50,3008,,0.8895160555839539
0.8828125,51,3049,0.3203689754009247,
,51,3067,,0.8927563428878784
0.921875,52,3099,0.23542055487632751,
,52,3126,,0.8950559496879578
0.9609375,53,3149,0.15022626519203186,
,53,3185,,0.8990278840065002
0.9296875,54,3199,0.16511167585849762,
,54,3244,,0.8997595906257629
0.921875,55,3249,0.20792894065380096,
0.9375,55,3299,0.1467810869216919,
,55,3303,,0.898818850517273
0.953125,56,3349,0.15030238032341003,
,56,3362,,0.8976690769195557
0.96875,57,3399,0.11763439327478409,
,57,3421,,0.8863802552223206
0.90625,58,3449,0.1948261708021164,
,58,3480,,0.8656841516494751
0.9453125,59,3499,0.1339159458875656,
,59,3539,,0.8510504961013794
0.9765625,60,3549,0.12232261896133423,
,60,3598,,0.851677656173706
0.8828125,61,3599,0.2404630482196808,
0.890625,61,3649,0.22571632266044617,
,61,3657,,0.8772864937782288
0.8828125,62,3699,0.2674073874950409,
,62,3716,,0.8881571888923645
